origin_iata,destination_iata,distance_km,est_duration_min,optional_price,source
ARN,LCA,2981.656,253.170,,openflights
ARN,LGW,1475.346,142.952,,openflights
ARN,MAN,1415.278,138.557,,openflights
ARN,SVO,1219.764,124.251,,openflights
ARN,TLV,3320.526,277.965,,openflights
ARN,UME,476.804,69.888,,openflights
ASB,URC,2517.713,219.223,,openflights
ASE,LAX,1184.503,121.671,,openflights
ASJ,HND,1235.020,125.367,,openflights
ASJ,ITM,890.253,100.140,,openflights
ASM,JED,710.752,87.006,,openflights
ASP,ADL,1316.762,131.348,,openflights
ASP,CNS,1454.668,141.439,,openflights
ASR,AMS,2795.433,239.544,,openflights
ASU,GRU,1136.680,118.172,,openflights
ASU,LIM,2528.466,220.010,,openflights
ASW,CAI,698.841,86.135,,openflights
ATH,ADB,283.807,55.766,,openflights
ATH,BCN,1904.508,174.354,,openflights
ATH,BEG,822.936,95.215,,openflights
ATH,DME,2206.304,196.437,,openflights
ATH,GVA,1731.286,161.679,,openflights
ATH,IOA,333.823,59.426,,openflights
ATH,JIK,212.939,50.581,,openflights
ATH,JSH,358.566,61.237,,openflights
ATH,LXS,246.963,53.070,,openflights
ATH,OSL,2628.943,227.362,,openflights
ATH,RIX,2111.281,189.484,,openflights
ATH,TIA,529.267,73.727,,openflights
ATH,VCE,1275.957,128.363,,openflights
ATL,ALB,1372.142,135.401,,openflights
ATL,AZO,961.118,105.326,,openflights
ATL,BON,2899.384,247.150,,openflights
ATL,CHO,734.756,88.763,,openflights
ATL,DEN,1926.618,175.972,,openflights
ATL,EWN,696.317,85.950,,openflights
ATL,FLL,936.441,103.520,,openflights
ATL,FWA,819.174,94.940,,openflights
ATL,GRB,1247.534,126.283,,openflights
ATL,ICT,1255.679,126.879,,openflights
ATL,LHR,6760.764,529.690,,openflights
ATL,LIR,2564.836,222.671,,openflights
ATL,LIT,727.160,88.207,,openflights
ATL,MCI,1113.375,116.466,,openflights
ATL,MEI,428.523,66.355,,openflights
ATL,MGA,2396.675,210.366,,openflights
ATL,MLI,1020.041,109.637,,openflights
ATL,PAP,2062.926,185.946,,openflights
ATL,PDX,3489.161,290.304,,openflights
ATL,RIC,773.180,91.574,,openflights
ATL,SGF,904.973,101.218,,openflights
ATL,TTN,1127.894,117.529,,openflights
ATM,ORX,433.209,66.698,,openflights
ATY,MSP,309.771,57.666,,openflights
AUA,LRM,672.005,84.171,,openflights
AUA,MAR,285.485,55.889,,openflights
AUG,BOS,238.448,52.447,,openflights
AUH,ADE,1639.430,154.958,,openflights
AUH,CGK,6574.692,516.075,,openflights
AUH,COK,2795.137,239.522,,openflights
AUH,DEL,2277.385,201.638,,openflights
AUH,DUB,5940.780,469.691,,openflights
AUH,JED,1613.625,153.070,,openflights
AUH,KUL,5588.375,443.905,,openflights
AUH,LCA,2332.872,205.698,,openflights
AUH,MEL,11651.651,887.560,,openflights
AUH,PEK,5954.875,470.723,,openflights
AUH,SIN,5885.751,465.665,,openflights
AUH,TSE,3288.074,275.591,,openflights
AUH,YYZ,11122.330,848.829,,openflights
AUS,BWI,2157.038,192.832,,openflights
AUS,CLT,1659.032,156.393,,openflights
AUS,CUN,1484.307,143.608,,openflights
AUS,DTW,1848.525,170.258,,openflights
AUS,LAS,1751.124,163.131,,openflights
AUS,LAX,1994.348,180.928,,openflights
AUS,MEX,1204.559,123.138,,openflights
AUS,SJC,2371.412,208.518,,openflights
AVP,SFB,1483.282,143.533,,openflights
AXD,ATH,367.764,61.910,,openflights
AXT,ITM,683.696,85.027,,openflights
AYT,BRE,2474.879,216.089,,openflights
AYT,BRS,3082.546,260.552,,openflights
AYT,FMO,2475.731,216.151,,openflights
AYT,IST,517.731,72.883,,openflights
AYT,LEJ,2178.774,194.423,,openflights
AYT,TZX,900.305,100.876,,openflights
AZA,DLH,2226.192,197.892,,openflights
AZO,ATL,961.118,105.326,,openflights
AZO,MSP,684.155,85.060,,openflights
AZR,ALG,1034.892,110.724,,openflights
AZR,CZL,1135.849,118.111,,openflights
AZS,JFK,2407.426,211.153,,openflights
AZS,YUL,2936.875,249.893,,openflights
AZS,YYZ,2866.658,244.755,,openflights
BAH,AMM,1545.755,148.104,,openflights
BAH,MHD,1398.740,137.347,,openflights
BAV,SHE,1135.208,118.064,,openflights
BAV,URC,1885.055,172.931,,openflights
BAV,XIY,688.515,85.379,,openflights
BBI,BOM,1361.684,134.635,,openflights
BBO,ADE,271.517,54.867,,openflights
BCI,LRE,105.736,42.737,,openflights
BCN,ACE,1974.126,179.448,,openflights
BCN,ATH,1904.508,174.354,,openflights
BCN,BGO,2123.203,190.356,,openflights
BCN,BLQ,831.320,95.828,,openflights
BCN,BRI,1226.700,124.759,,openflights
BCN,BRN,759.375,90.564,,openflights
BCN,BSL,822.237,95.164,,openflights
BCN,CIA,876.388,99.126,,openflights
BCN,DBV,1344.587,133.384,,openflights
BCN,DKR,3504.098,291.397,,openflights
BCN,FEZ,1027.728,110.200,,openflights
BCN,FUE,2031.892,183.675,,openflights
BCN,GOA,650.530,82.600,,openflights
BCN,LEI,626.443,80.837,,openflights
BCN,LPL,1388.158,136.573,,openflights
BCN,NAP,1023.608,109.898,,openflights
BCN,OSL,2181.733,194.639,,openflights
BCN,OVD,711.582,87.067,,openflights
BCN,PIK,1653.301,155.973,,openflights
BCN,SVG,1970.502,179.183,,openflights
BCN,SVQ,809.278,94.215,,openflights
BCN,TRF,2068.901,186.383,,openflights
BCN,TUN,859.164,97.866,,openflights
BCN,WAW,1869.689,171.806,,openflights
BCN,ZRH,856.530,97.673,,openflights
BDA,BOS,1243.710,126.003,,openflights
BDA,JFK,1226.744,124.762,,openflights
BDA,LGW,5540.637,440.412,,openflights
BDL,CVG,1062.092,112.714,,openflights
BDL,MIA,1925.770,175.910,,openflights
BDL,PHL,314.670,58.025,,openflights
BDO,DPS,861.040,98.003,,openflights
BDO,PKU,1064.274,112.874,,openflights
BDS,BGY,869.853,98.648,,openflights
BDS,CIA,465.154,69.036,,openflights
BDS,GVA,1137.596,118.239,,openflights
BDS,MXP,929.171,102.988,,openflights
BEB,GLA,253.032,53.515,,openflights
BEG,AUH,3828.699,315.149,,openflights
BEG,MMX,1288.451,129.277,,openflights
BEG,OSL,1809.383,167.394,,openflights
BEG,SKG,525.126,73.424,,openflights
BEG,SOF,343.083,60.104,,openflights
BEG,STR,946.776,104.276,,openflights
BEG,TGD,286.371,55.954,,openflights
BEL,BVS,220.541,51.137,,openflights
BEL,MEU,461.905,68.798,,openflights
BEL,MIA,4561.953,368.801,,openflights
BEL,PBM,1064.288,112.875,,openflights
BES,MRS,929.296,102.997,,openflights
BET,KWK,124.319,44.097,,openflights
BEY,ALG,2933.849,249.672,,openflights
BEY,ATH,1135.212,118.064,,openflights
BEY,EBL,816.755,94.763,,openflights
BEY,FCO,2217.689,197.270,,openflights
BEY,IST,1018.934,109.556,,openflights
BEY,SHJ,2149.535,192.283,,openflights
BEY,SVO,2467.591,215.555,,openflights
BEY,TUN,2309.200,203.966,,openflights
BFI,ESD,138.565,45.139,,openflights
BFJ,NAY,1717.635,160.681,,openflights
BFL,LAX,176.100,47.885,,openflights
BFL,PHX,683.084,84.982,,openflights
BFS,BRS,432.664,66.658,,openflights
BFS,FAO,1966.347,178.879,,openflights
BFS,KRK,1825.381,168.564,,openflights
BFS,NCL,292.654,56.414,,openflights
BGG,ESB,667.076,83.810,,openflights
BGI,GND,275.948,55.191,,openflights
BGI,KIN,1929.205,176.161,,openflights
BGO,HAM,794.825,93.158,,openflights
BGO,MAN,895.038,100.491,,openflights
BGO,OSL,322.679,58.611,,openflights
BGR,DCA,948.374,104.393,,openflights
BGR,LGA,608.240,79.505,,openflights
BGR,PHL,760.447,90.642,,openflights
BGW,BAH,992.408,107.615,,openflights
BGW,DOH,1139.736,118.395,,openflights
BGW,ESB,1258.037,127.051,,openflights
BGY,CTA,1015.183,109.282,,openflights
BGY,GDN,1150.658,119.195,,openflights
BGY,KGS,1751.592,163.165,,openflights
BGY,LPP,2086.272,187.654,,openflights
BGY,OMO,698.117,86.082,,openflights
BGY,OTP,1288.775,129.301,,openflights
BGY,PMI,887.160,99.914,,openflights
BGY,PMO,879.329,99.341,,openflights
BGY,RYG,1525.620,146.631,,openflights
BGY,TPS,893.314,100.364,,openflights
BHD,EXT,462.494,68.841,,openflights
BHH,RUH,693.684,85.757,,openflights
BHM,ATL,215.523,50.770,,openflights
BHM,HOU,916.924,102.092,,openflights
BHM,LGA,1392.628,136.900,,openflights
BHM,MCO,771.178,91.428,,openflights
BHM,TPA,740.474,89.181,,openflights
BHQ,DBO,669.311,83.974,,openflights
BHX,ASB,4818.672,387.586,,openflights
BHX,DEL,6798.842,532.476,,openflights
BHX,DUS,598.364,78.783,,openflights
BHX,FCO,1582.908,150.823,,openflights
BHX,FRA,766.206,91.064,,openflights
BHX,FUE,2849.980,243.535,,openflights
BHX,IST,2603.564,225.505,,openflights
BHX,MAH,1472.318,142.731,,openflights
BHX,MXP,1074.411,113.615,,openflights
BHX,NBE,2057.126,185.521,,openflights
BHX,NCL,287.307,56.022,,openflights
BIA,CDG,896.458,100.594,,openflights
BIA,MRS,360.343,61.367,,openflights
BIL,MSP,1199.942,122.801,,openflights
BIL,OLF,339.670,59.854,,openflights
BIL,PDX,1090.414,114.786,,openflights
BIO,BCN,466.811,69.157,,openflights
BIO,LHR,926.781,102.813,,openflights
BIO,MXP,958.251,105.116,,openflights
BIO,ORY,727.891,88.260,,openflights
BIO,PMI,628.755,81.006,,openflights
BIO,VCE,1234.989,125.365,,openflights
BIQ,LIL,862.696,98.124,,openflights
BIQ,SXB,903.533,101.112,,openflights
BJM,EBB,510.620,72.362,,openflights
BJV,NCL,2965.278,251.972,,openflights
BKC,DRG,73.709,40.393,,openflights
BKI,JHB,1454.060,141.395,,openflights
BKI,LWY,140.371,45.271,,openflights
BKI,PEN,1746.954,162.826,,openflights
BKI,PVG,2866.294,244.729,,openflights
BKI,SBW,608.555,79.528,,openflights
BKI,TWU,291.958,56.363,,openflights
BKK,ADD,6757.835,529.476,,openflights
BKK,AKL,9555.379,734.174,,openflights
BKK,CAI,7279.769,567.666,,openflights
BKK,DME,7058.741,551.493,,openflights
BKK,DOH,5279.962,421.339,,openflights
BKK,FOC,2397.454,210.423,,openflights
BKK,HDY,751.329,89.975,,openflights
BKK,KMG,1290.308,129.413,,openflights
BKK,MUC,8799.707,678.881,,openflights
BKK,MXP,9079.593,699.360,,openflights
BKK,SVO,7104.610,554.850,,openflights
BKK,SZX,1700.436,159.422,,openflights
BKO,CKY,699.849,86.208,,openflights
BKO,CMN,2316.923,204.531,,openflights
BKO,DKR,1059.573,112.530,,openflights
